Attribute,Value,Date_GBP,Date_usd,Date_EUR,Day Name_fOR_USD,Day_ Name_EUR,Day_Name_GBP
USD,95.129,17/10/2012,12/07/2012,11/10/2012,Thursday,Thursday,Wednesday
USD,95.131,19/10/2012,16/07/2012,15/10/2012,Monday,Monday,Friday
USD,95.132,22/10/2012,17/07/2012,16/10/2012,Tuesday,Tuesday,Monday
USD,95.132,23/10/2012,18/07/2012,17/10/2012,Wednesday,Wednesday,Tuesday
USD,95.133,25/10/2012,20/07/2012,19/10/2012,Friday,Friday,Thursday
USD,95.133,24/10/2012,19/07/2012,18/10/2012,Thursday,Thursday,Wednesday
USD,95.135,26/10/2012,23/07/2012,22/10/2012,Monday,Monday,Friday
USD,95.136,29/10/2012,24/07/2012,23/10/2012,Tuesday,Tuesday,Monday
USD,95.136,30/10/2012,25/07/2012,24/10/2012,Wednesday,Wednesday,Tuesday
USD,95.137,01/11/2012,27/07/2012,26/10/2012,Friday,Friday,Thursday
USD,95.137,31/10/2012,26/07/2012,25/10/2012,Thursday,Thursday,Wednesday
USD,95.138,05/11/2012,30/07/2012,29/10/2012,Monday,Monday,Monday
USD,95.139,06/11/2012,31/07/2012,30/10/2012,Tuesday,Tuesday,Tuesday
USD,95.139,07/11/2012,01/08/2012,31/10/2012,Wednesday,Wednesday,Wednesday
USD,95.141,08/11/2012,02/08/2012,01/11/2012,Thursday,Thursday,Thursday
USD,95.142,09/11/2012,03/08/2012,05/11/2012,Friday,Monday,Friday
USD,95.143,13/11/2012,06/08/2012,06/11/2012,Monday,Tuesday,Tuesday
USD,95.144,14/11/2012,07/08/2012,07/11/2012,Tuesday,Wednesday,Wednesday
USD,95.144,15/11/2012,08/08/2012,08/11/2012,Wednesday,Thursday,Thursday
USD,95.145,19/11/2012,10/08/2012,13/11/2012,Friday,Tuesday,Monday
USD,95.145,16/11/2012,09/08/2012,09/11/2012,Thursday,Friday,Friday
