Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,100.50418,2006,October,2006,October,2006,October
EUR,100.524,2007,May,2007,May,2007,May
EUR,100.528,2007,June,2007,June,2007,May
EUR,100.5336,2004,June,2004,June,2004,June
EUR,100.536,2009,January,2009,January,2008,September
EUR,100.54398,2006,October,2006,October,2006,October
EUR,100.54401,2006,October,2006,October,2006,October
EUR,100.555,2007,August,2007,August,2007,July
EUR,100.56,2007,May,2007,May,2007,May
EUR,100.561,2007,June,2007,July,2007,June
EUR,100.562,2007,July,2007,July,2007,June
EUR,100.56817,2006,October,2006,October,2006,September
EUR,100.57967,2004,January,2004,January,2004,January
EUR,100.58,2007,May,2007,May,2007,May
EUR,100.60014,2006,October,2006,October,2006,September
EUR,100.60133,2006,June,2006,July,2006,June
EUR,100.621,2007,June,2007,June,2007,June
EUR,100.639,2007,May,2007,May,2007,April
EUR,100.639,2007,June,2007,June,2007,June
EUR,100.639,2009,April,2009,April,2009,January
EUR,100.652,2009,April,2009,April,2009,January
EUR,100.65611,2004,February,2004,February,2004,February
EUR,100.68827,2006,October,2006,October,2006,September
EUR,100.72049,2006,October,2006,October,2006,September
EUR,100.722,2008,October,2008,October,2008,August
EUR,100.732,2009,April,2009,April,2009,January
EUR,100.73951,2006,June,2006,June,2006,June
EUR,100.76203,2004,January,2004,January,2004,January
EUR,100.78591,2006,July,2006,July,2006,June
EUR,100.79049,2004,June,2004,June,2004,May
EUR,100.79539,2006,June,2006,June,2006,June
EUR,100.7959,2006,June,2006,June,2006,June
EUR,100.816,2007,May,2007,May,2007,May
EUR,100.837,2007,May,2007,May,2007,April
EUR,100.855,2007,August,2007,August,2007,July
EUR,100.87,2007,August,2007,August,2007,July
EUR,100.883,2004,June,2004,June,2004,June
EUR,100.88713,2004,January,2004,January,2004,January
EUR,100.892,2007,August,2007,August,2007,July
EUR,100.89915,2004,June,2004,June,2004,June
EUR,100.89941,2004,August,2004,August,2004,August
EUR,100.90625,2004,July,2004,July,2004,July
EUR,100.90788,2004,July,2004,July,2004,July
EUR,100.91208,2004,May,2004,May,2004,May
EUR,100.919,2009,April,2009,April,2009,January
EUR,100.928,2007,August,2007,August,2007,July
EUR,100.93011,2004,August,2004,August,2004,August
EUR,100.96004,2004,January,2004,January,2004,January
EUR,100.96112,2006,June,2006,June,2006,June
EUR,100.96414,2006,July,2006,July,2006,July
EUR,100.971,2007,May,2007,May,2007,April
EUR,100.97331,2004,June,2004,June,2004,June
EUR,100.99,2007,June,2007,June,2007,May
EUR,100.997,2007,May,2007,May,2007,April
EUR,101.00434,2004,February,2004,February,2004,February
EUR,101.02,2009,April,2009,April,2009,January
EUR,101.05225,2004,February,2004,February,2004,February
EUR,101.05866,2004,January,2004,January,2004,January
EUR,101.065,2007,June,2007,June,2007,May
EUR,101.08308,2004,June,2004,June,2004,June
EUR,101.10342,2004,July,2004,July,2004,June
EUR,101.12413,2004,June,2004,June,2004,June
EUR,101.127,2009,April,2009,April,2009,January
EUR,101.13221,2004,June,2004,June,2004,June
EUR,101.17995,2006,June,2006,June,2006,June
EUR,101.18024,2006,July,2006,July,2006,July
EUR,101.18636,2004,January,2004,January,2004,January
EUR,101.19,2007,May,2007,May,2007,April
EUR,101.20743,2004,August,2004,August,2004,July
EUR,101.23,2007,May,2007,May,2007,April
EUR,101.28469,2006,July,2006,July,2006,July
